Date,Open,High,Low,Close,Nasdaq Index (NI),"Dow-Jones  Industrial 
Average (DJIA)",Shanghai Composite Index (SCI),Hang Seng Index (HSI)
2007-02-06,1.29339300,1.29910600,1.29160600,1.29839800,1793.1,12666.31,2675.7,20655.2
2007-02-07,1.29860000,1.30259200,1.29740400,1.30230400,1810.9,12666.87,2716.2,20679.7
2007-02-08,1.30225300,1.30449500,1.29789200,1.30400200,1810.5,12637.63,2737.7,20735.1
2007-02-09,1.30400200,1.30449500,1.29870100,1.30069500,1785.5,12580.83,2730.4,20677.7
2007-02-12,1.30199800,1.30369600,1.29439800,1.29629400,1778.4,12552.55,2807.2,20593.4
2007-02-13,1.29629400,1.30420600,1.29570600,1.30320300,1783.8,12654.85,2831.9,20132.3
2007-02-14,1.30320300,1.31480300,1.30279600,1.31399100,1815.0,12741.86,2905.1,20209.9
2007-02-15,1.31390500,1.31689800,1.31230200,1.31350800,1823.4,12765.01,2993.0,20538.4
2007-02-16,1.31330100,1.31470000,1.31030700,1.31380200,1821.5,12767.57,2998.5,20567.9
2007-02-19,1.31490700,1.31629200,1.31250800,1.31520100,#N/A,#N/A,#N/A,#N/A
2007-02-20,1.31539100,1.31879100,1.31330100,1.31480300,1833.7,12786.64,#N/A,#N/A
2007-02-21,1.31459600,1.31650000,1.31159600,1.31390500,1839.1,12738.41,#N/A,20651.4
2007-02-22,1.31399100,1.31419900,1.30850700,1.31250800,1846.3,12686.02,#N/A,20809.2
2007-02-23,1.31250800,1.31860000,1.31080500,1.31689800,1839.8,12647.48,#N/A,20711.7
2007-02-26,1.31820000,1.31999300,1.31549500,1.31940000,1830.6,12632.26,3040.6,20507.9
2007-02-27,1.31959200,1.32620700,1.31639600,1.32320600,1756.3,12216.24,2771.8,20147.9
2007-02-28,1.32299600,1.32380200,1.31839200,1.32289100,1761.6,12268.63,2881.1,19651.5
2007-03-01,1.32294400,1.32410000,1.31620500,1.31700300,1753.4,12234.34,2797.2,19346.6
2007-03-02,1.31715900,1.32030600,1.31470000,1.31650000,1726.0,12114.10,2831.5,19442.0
2007-03-05,1.31860000,1.31940000,1.30775400,1.30869500,1712.9,12050.41,2785.3,18664.9
2007-03-06,1.30859200,1.31419900,1.30850700,1.31380200,1743.1,12207.59,2840.2,19058.6
2007-03-07,1.31390500,1.31860000,1.31140700,1.31785300,1736.1,12192.45,2896.6,18918.6
2007-03-08,1.31780100,1.31830500,1.31190600,1.31419900,1746.4,12260.70,2928.0,19175.2
2007-03-09,1.31380200,1.31620500,1.30900300,1.31159600,1744.7,12276.32,2937.9,19134.9
2007-03-12,1.31259400,1.31990600,1.31125200,1.31879100,1756.4,12318.62,2954.9,19442.4
2007-03-13,1.31860000,1.32210400,1.31620500,1.31900000,1722.5,12075.96,2964.8,19333.1
2007-03-14,1.31919200,1.32429300,1.31830500,1.32350400,1743.2,12133.40,2906.3,18836.9
2007-03-15,1.32339900,1.32819800,1.31980100,1.32830400,1744.9,12159.68,2951.7,18969.4
2007-03-16,1.32839200,1.33409800,1.32759800,1.33180600,1742.2,12110.41,2930.5,18953.5
