Date,Open,High,Low,Close,Adj Close,Momentum,Average,Range,OHLC Price
2009-04-06,1.352704,1.357792,1.336398,1.340572,1.340572,0.012132,1.347095,0.021394,1.3468665
2009-04-07,1.340536,1.340698,1.323592,1.327739,1.327739,0.012797,1.332145,0.017106,1.33314125
2009-04-08,1.328198,1.330796,1.315928,1.325135,1.325135,0.003063,1.323362,0.014868,1.32501425
2009-04-09,1.325205,1.333298,1.313905,1.315997,1.315997,0.009208,1.3236015,0.019393,1.32210125
2009-04-10,1.315599,1.319801,1.31017,1.317593,1.317593,-0.001994,1.3149855,0.009631,1.31579075
2009-04-13,1.318131,1.339208,1.313836,1.336398,1.336398,-0.018267,1.326522,0.025372,1.32689325
2009-04-14,1.336988,1.337793,1.323907,1.327404,1.327404,0.009584,1.33085,0.013886,1.331523
2009-04-15,1.327404,1.328992,1.315703,1.322594,1.322594,0.00481,1.3223475,0.013289,1.32367325
2009-04-16,1.322804,1.326665,1.313508,1.318044,1.318044,0.00476,1.3200865,0.013157,1.32025525
2009-04-17,1.318479,1.319801,1.302406,1.304495,1.304495,0.013984,1.3111035,0.017395,1.31129525
2009-04-20,1.304819,1.304819,1.290106,1.292892,1.292892,0.011927,1.2974625,0.014713,1.298159
2009-04-21,1.292925,1.298701,1.290123,1.293494,1.293494,-0.000569,1.294412,0.008578,1.29381075
2009-04-22,1.293393,1.303305,1.29009,1.300576,1.300576,-0.007183,1.2966975,0.013215,1.296841
2009-04-23,1.300492,1.315599,1.298499,1.314095,1.314095,-0.013603,1.307049,0.0171,1.30717125
2009-04-24,1.313991,1.329893,1.311906,1.325803,1.325803,-0.011812,1.3208995,0.017987,1.32039825
2009-04-27,1.322506,1.323206,1.300728,1.301897,1.301897,0.020609,1.311967,0.022478,1.31208425
2009-04-28,1.302592,1.316534,1.297236,1.313094,1.313094,-0.010502,1.306885,0.019298,1.307364
2009-04-29,1.312905,1.333796,1.312508,1.326594,1.326594,-0.013689,1.323152,0.021288,1.32145075
2009-04-30,1.326225,1.338204,1.319993,1.323522,1.323522,0.002703,1.3290985,0.018211,1.326986
